UMAP1,UMAP2,UMAP3,Year
2.66867,10.293089,8.781869,2020
6.00797,12.488864,13.506521,2020
6.312723,12.724238,15.307297,2020
17.081518,6.232215,6.6065116,2020
-4.8891506,-1.2004538,6.4083877,2020
-2.7272396,0.7197563,8.575018,2020
-4.8806977,-1.2075868,6.4474244,2020
-4.870804,-1.2270077,6.5022717,2020
-2.41321,1.1639135,9.107408,2020
-4.9197783,-1.2551074,6.300768,2020
6.9591517,10.574045,10.250548,2020
-1.7249644,0.8564326,9.31851,2020
8.735914,10.418463,9.264157,2020
6.110672,11.505762,14.517587,2020
7.0725036,10.904258,10.961081,2020
-2.7344134,0.69152284,8.567132,2020
6.3604956,12.361112,14.678597,2020
7.0030923,10.928126,11.346057,2020
-4.9386067,-1.1105758,6.4918556,2020
11.97966,5.209509,13.785754,2020
6.1840324,11.5739565,14.128282,2020
6.125226,12.151809,13.878884,2020
-1.7434988,0.943553,9.288738,2020
-4.9246683,-1.1909552,6.3947415,2020
7.3142376,10.533842,9.602483,2020
-5.015698,-1.179704,6.364746,2020
-4.990591,-1.2437623,6.349609,2020
16.587963,6.7678266,6.5752196,2020
4.437919,1.938858,6.2810025,2020
4.4407816,1.9247867,6.2640676,2020
7.735615,10.718803,8.767988,2020
17.460293,6.5084076,6.917516,2020
6.2990694,12.772115,15.112775,2020
7.481273,10.634784,8.384747,2020
17.18929,6.5304847,6.43951,2020
5.9400477,11.185466,3.1343281,2020
17.2014,6.6067533,6.334591,2020
17.171179,6.4405174,6.4753532,2020
6.0452304,12.506908,13.542041,2020
4.29073,10.389802,9.659324,2020
8.544058,10.892436,9.160961,2020
6.1150336,11.335251,14.811585,2020
17.429407,6.472559,6.850898,2020
1.8634454,9.749472,6.8423705,2020
17.500963,6.4652267,6.8355684,2020
17.182817,6.5011587,6.46993,2020
6.350283,12.426477,14.629598,2020
4.4078937,2.4019043,6.502505,2020
17.064545,6.7435994,5.974667,2020
17.033161,6.7298164,5.97105,2020
6.0604444,11.305902,3.2116969,2020
6.130361,11.913876,15.123652,2020
6.1289907,11.3208885,14.803283,2020
1.8733344,10.218439,7.7754498,2020
8.165708,11.649726,9.695975,2020
1.944834,9.690247,6.856697,2020
17.137962,6.4809055,6.377519,2020
6.215519,12.56811,15.338381,2020
17.054962,6.7244744,5.9933925,2020
17.089352,6.518226,6.3360314,2020
5.9678206,11.213261,3.1572158,2020
12.109062,5.34567,13.895149,2020
12.129822,5.3519955,14.014401,2020
17.205986,6.438635,6.4455667,2020
6.1008005,12.037643,15.245945,2021
6.0380673,12.437771,13.599337,2021
6.1642838,12.567288,13.742585,2021
8.290678,12.298969,9.887298,2021
6.078946,12.459473,13.615888,2021
3.547844,10.496272,7.8520436,2021
16.214296,8.1459,6.6433005,2021
8.252645,12.270702,9.897544,2021
16.161144,8.240241,6.7352176,2021
1.9134961,9.413875,7.102176,2021
7.3082113,10.544939,8.250066,2021
7.3345585,10.55517,8.196743,2021
7.5837655,5.117879,8.80152,2021
1.9716965,9.348409,7.1235843,2021
6.1387305,12.886683,15.477778,2021
6.1284256,11.925985,15.127537,2021
1.9827539,9.322176,7.049247,2021
7.6266427,5.074646,8.75852,2021
16.077414,7.1351476,5.5054197,2021
12.040804,5.269196,13.863312,2021
6.36412,12.781295,15.295699,2021
15.814894,8.177749,7.637191,2021
16.033558,7.1692853,5.4916444,2021
6.0006366,12.5191145,13.567306,2021
16.07055,7.197545,5.453152,2021
1.8697243,9.457972,7.0001206,2021
15.999844,7.619311,5.5235004,2021
16.412416,6.883813,5.8270326,2021
1.6679188,9.467965,6.6859126,2021
6.1261935,11.30454,14.850482,2021
15.955411,7.368798,5.479904,2021
7.05892,10.576357,8.312066,2021
8.608723,10.944456,9.148087,2021
8.216331,11.67948,9.734731,2021
15.888693,7.373029,5.408452,2021
2.9026482,10.25971,8.953616,2021
8.609846,11.08192,8.958194,2021
8.758965,10.430254,9.237322,2021
7.021334,10.617286,8.377566,2021
16.388628,6.896811,5.8075194,2021
8.192319,11.717699,9.780012,2021
6.456767,12.720946,15.281582,2021
12.063024,5.290754,13.997544,2021
-4.9296,-1.1600914,6.4483113,2021
16.122938,7.599952,5.688069,2021
4.40155,1.9944698,6.349873,2021
-4.959478,-1.1548152,6.413385,2021
4.370951,1.9719588,6.3059225,2021
6.277826,12.71175,15.335648,2021
7.760587,10.720506,8.795743,2021
16.140385,7.592451,5.7080946,2021
7.455851,10.619225,8.159279,2021
1.8132197,9.442798,6.661392,2021
6.9944634,10.831612,10.920309,2021
15.746319,7.6445465,5.473906,2021
6.910756,10.634583,10.211985,2021
8.184038,11.768348,9.801903,2021
7.7886634,10.753904,8.833071,2021
-2.3498747,1.0840672,9.020024,2021
-2.3502958,1.1118653,9.038393,2021
7.04045,10.930879,11.325717,2021
7.025821,10.947068,11.340653,2021
-4.9291625,-1.2129513,6.4020405,2021
6.3441653,12.414297,14.62784,2021
7.3741655,10.588618,9.559739,2021
7.369339,10.622209,8.123615,2021
7.430309,10.617904,8.22958,2021
-2.7974234,0.6318298,8.517608,2021
-1.7157845,0.85525894,9.321927,2021
6.1813493,11.856391,14.65268,2021
5.983944,11.2289,3.0929844,2021
6.0718093,11.316809,3.137807,2021
6.0598645,11.304857,3.1628494,2021
15.837594,7.5314727,5.4054346,2021
4.4173927,2.4277933,6.516034,2021
4.260583,10.382893,9.6379385,2021
15.899818,7.5046115,5.4809265,2021
6.439985,12.643499,15.214856,2021
6.3514647,12.761436,15.438298,2021
3.0457978,10.223128,9.039796,2021
6.0858884,11.324734,14.799547,2021
6.145637,11.989199,15.136513,2021
16.004467,7.653641,5.423556,2021
16.043741,7.1440644,5.488577,2021
3.9968078,10.342187,9.525155,2021
8.693781,11.183996,8.91161,2021
16.172726,7.041311,5.6017294,2021
8.623903,11.101565,8.945272,2021
6.3328896,12.806837,15.440405,2021
4.540541,10.359343,9.7243185,2021
6.132137,12.779365,15.169182,2021
15.81822,7.4461365,5.380508,2021
15.966719,7.588229,5.4587708,2021
7.212637,10.482253,8.2438545,2021
1.8589138,9.527894,6.97313,2021
15.847543,7.563183,5.4064803,2021
15.793559,7.5878825,5.383883,2021
12.0264225,5.2387624,13.825504,2021
8.786986,10.390882,9.260376,2021
11.994977,5.1896205,13.832794,2021
6.51779,10.420757,10.219097,2021
3.572335,10.492547,7.898526,2022
3.3651524,10.174699,8.734099,2022
8.311384,12.325949,9.816773,2022
3.5801466,10.525194,7.9507456,2022
15.757426,8.14044,8.643357,2022
15.692261,8.145747,7.9439235,2022
3.5788817,10.518699,7.867839,2022
3.562601,10.502194,7.8780227,2022
8.23216,12.248916,9.856826,2022
2.0602045,10.399663,8.589411,2022
12.110696,5.3226676,13.929332,2022
4.395426,2.3870492,6.4852667,2022
6.141647,11.379209,14.867661,2022
6.2451286,13.243439,15.319711,2022
6.0926323,11.3943815,14.827154,2022
1.8268744,10.300487,7.88435,2022
1.8610408,10.264942,7.8505774,2022
4.3947077,10.511981,9.892049,2022
1.8421063,10.281356,7.865297,2022
6.1558814,13.369781,15.355707,2022
2.4255462,10.128974,8.152893,2022
15.749398,8.171832,8.728275,2022
15.761399,8.304162,8.591969,2022
2.0916276,10.494475,8.435296,2022
6.1621084,11.363602,14.861837,2022
6.0018554,12.491981,13.5721035,2022
